VALUE;SUB_VALUE;SUB_VALUE2;TPLKZ;FLTYP;FLLEVEL;CODE_SEZ_PM;CODE_SIST;CODE_PARTE;TIPO_ELEM
CH;00;06;Z-RES;E;6;0000;51;5150;
CP;C3;06;Z-RES;E;6;0000;51;5180;
PL;C3;06;Z-RES;E;6;0000;51;5180;
CP;C4;06;Z-RES;E;6;0000;51;5180;
PL;C4;06;Z-RES;E;6;0000;51;5180;
DC;P1;06;Z-RES;E;6;0000;51;5180;
LC;P1;06;Z-RES;E;6;0000;51;5180;
DC;P2;06;Z-RES;E;6;0000;51;5180;
LC;P2;06;Z-RES;E;6;0000;51;5180;
