FL	Description
kkE-yyyy-WE-SA-UP	UPS
kkE-yyyy-WE-SA-TR	Ausiliary Transformer
kkE-yyyy-WE-SA-IT	Circuit Breaker
kkE-yyyy-WE-SA-EP	External Power Supply
kkE-yyyy-WE-SA-ME	Auxiliary Meters
kkE-yyyy-WE-N0	BESS Control System
kkE-yyyy-WE-N0-SC	BESS SCADA
kkE-yyyy-WE-N0-SW	Switch-router
kkE-yyyy-WE-N0-CC	Control Card
kkE-yyyy-WE-N0-HM	HMI
kkE-yyyy-WE-N0-CM	Communication cable
kkE-yyyy-WE-N0-PL	Centralized Safety PLC
kkE-yyyy-WE-N0-HV	HVAC
kkE-yyyy-WE-N0-FD	Fire Detection
kkE-yyyy-WE-N0-FS	Fire fighing (sprinkler & agent storage)
kkE-yyyy-ZE	Bess Common East/South
kkE-yyyy-ZE-SA	BESS Dedicated Auxiliary System
kkE-yyyy-ZE-SA-DG	Backup Generator
kkE-yyyy-ZE-SA-TS	AutomaticTransferSwitch (ATS)
kkE-yyyy-ZE-SA-UP	UPS
kkE-yyyy-ZE-SA-TR	Ausiliary Transformer
kkE-yyyy-ZE-SA-IT	Circuit Breaker
kkE-yyyy-ZE-SA-EP	External Power Supply
kkE-yyyy-ZE-SA-ME	Auxiliary Meters
kkE-yyyy-ZE-N0	BESS Control System
kkE-yyyy-ZE-N0-SC	BESS SCADA
kkE-yyyy-ZE-N0-SW	Switch-router
kkE-yyyy-ZE-N0-CC	Control Card
kkE-yyyy-ZE-N0-HM	HMI
kkE-yyyy-ZE-N0-CM	Communication cable
kkE-yyyy-ZE-N0-PL	Centralized Safety PLC
kkE-yyyy-ZE-N0-HV	HVAC
kkE-yyyy-ZE-N0-FD	Fire Detection
kkE-yyyy-ZE-N0-FS	Fire fighing (sprinkler & agent storage)
